epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.439,1.40292,4.0003,1.23778,0.01933,0.04304,0.01447,0.01039,1.23199,inf,1.08406,0.07327,0.00027,0.00027
2,264.84,0.87203,2.35463,0.95213,0.04192,0.26334,0.12138,0.09461,0.81947,inf,0.89815,0.0455446,0.000544555,0.000544555
3,382.139,0.80709,1.71521,0.93218,0.19311,0.40929,0.30101,0.24462,0.7589,inf,0.89869,0.0178136,0.000813566,0.000813566
4,478.792,0.76882,1.37108,0.92223,0.71082,0.365,0.43602,0.3684,0.65672,1.67315,0.89325,0.0009703,0.0009703,0.0009703
5,565.163,0.74958,1.15772,0.91315,0.71869,0.4608,0.50289,0.41113,0.71091,1.23765,0.90756,0.0009604,0.0009604,0.0009604
6,661.832,0.72611,1.05727,0.90167,0.81024,0.50971,0.53225,0.44477,0.62045,0.9073,0.88046,0.0009505,0.0009505,0.0009505
7,759.151,0.70446,0.98045,0.90024,0.79831,0.53779,0.56646,0.47915,0.6017,0.83581,0.87896,0.0009406,0.0009406,0.0009406
8,861.231,0.68876,0.90676,0.89549,0.78018,0.56234,0.57525,0.47859,0.62584,0.81272,0.90959,0.0009307,0.0009307,0.0009307
9,1032.28,0.66752,0.86991,0.8909,0.80621,0.51942,0.56676,0.4814,0.58409,0.87766,0.88302,0.0009208,0.0009208,0.0009208
10,1127.9,0.65935,0.83625,0.88665,0.78916,0.47615,0.54507,0.45811,0.63822,1.08211,0.90542,0.0009109,0.0009109,0.0009109
11,1223.27,0.65259,0.79762,0.89144,0.77279,0.60634,0.64221,0.54993,0.57831,0.74009,0.8772,0.000901,0.000901,0.000901
12,1315.06,0.63072,0.75297,0.87867,0.66427,0.5723,0.61905,0.52582,0.60171,0.8489,0.86904,0.0008911,0.0008911,0.0008911
13,1399.74,0.61986,0.72864,0.87743,0.73194,0.65038,0.64846,0.55235,0.58598,0.73511,0.8671,0.0008812,0.0008812,0.0008812
14,1502.98,0.61692,0.71148,0.87118,0.8085,0.5445,0.60971,0.5262,0.55487,0.78675,0.8591,0.0008713,0.0008713,0.0008713
15,1580.91,0.61441,0.69564,0.87151,0.78823,0.60148,0.66371,0.57175,0.56224,0.70525,0.85782,0.0008614,0.0008614,0.0008614
16,1690.57,0.60526,0.67469,0.87413,0.77879,0.67142,0.6892,0.59995,0.52602,0.62128,0.85572,0.0008515,0.0008515,0.0008515
17,1798.51,0.59892,0.6513,0.86484,0.74383,0.6374,0.68689,0.59307,0.56557,0.66008,0.85515,0.0008416,0.0008416,0.0008416
18,1905.92,0.60528,0.65162,0.87025,0.77939,0.66002,0.70396,0.61454,0.53094,0.64314,0.85014,0.0008317,0.0008317,0.0008317
19,2265.54,0.59269,0.63086,0.86672,0.69053,0.6784,0.69543,0.61156,0.50937,0.6172,0.84608,0.0008218,0.0008218,0.0008218
20,2419.78,0.57445,0.61714,0.86402,0.78682,0.65814,0.683,0.59797,0.51927,0.62602,0.84639,0.0008119,0.0008119,0.0008119
21,2490.17,0.60204,0.61985,0.86976,0.74099,0.67123,0.70403,0.61421,0.53135,0.64381,0.84956,0.000802,0.000802,0.000802
22,2560.08,0.58209,0.60491,0.86617,0.71964,0.68758,0.69882,0.60441,0.5409,0.63057,0.85707,0.0007921,0.0007921,0.0007921
23,2628.91,0.58025,0.59572,0.86389,0.71339,0.67983,0.70583,0.6132,0.53099,0.61215,0.86167,0.0007822,0.0007822,0.0007822
24,2708.82,0.58048,0.59489,0.85893,0.70544,0.68662,0.70197,0.61476,0.51555,0.62431,0.84231,0.0007723,0.0007723,0.0007723
25,2797.08,0.57152,0.58526,0.85842,0.71879,0.67024,0.70155,0.61346,0.51621,0.6078,0.8495,0.0007624,0.0007624,0.0007624
26,2874.75,0.56029,0.56335,0.85935,0.75341,0.70105,0.71519,0.62987,0.49804,0.577,0.84401,0.0007525,0.0007525,0.0007525
27,2954.31,0.56118,0.5751,0.85625,0.69207,0.70216,0.71792,0.63031,0.50976,0.55487,0.84571,0.0007426,0.0007426,0.0007426
28,3026.01,0.55954,0.56111,0.85812,0.73947,0.67408,0.72611,0.64404,0.49539,0.56741,0.84315,0.0007327,0.0007327,0.0007327
29,3098.08,0.56146,0.55036,0.85434,0.8025,0.61724,0.70586,0.62667,0.49521,0.63278,0.84139,0.0007228,0.0007228,0.0007228
30,3161.08,0.55001,0.54753,0.85265,0.81318,0.68539,0.73091,0.6462,0.48454,0.56615,0.84088,0.0007129,0.0007129,0.0007129
31,3231.37,0.54722,0.54859,0.85454,0.72828,0.72267,0.73969,0.65458,0.48699,0.55319,0.83979,0.000703,0.000703,0.000703
32,3323.08,0.5561,0.55184,0.85659,0.69303,0.71024,0.71401,0.62964,0.49926,0.58954,0.84437,0.0006931,0.0006931,0.0006931
33,3394.48,0.54617,0.53763,0.85192,0.79842,0.69177,0.71906,0.62579,0.52809,0.5699,0.84751,0.0006832,0.0006832,0.0006832
34,3466.5,0.5546,0.53821,0.85411,0.61717,0.71201,0.73048,0.6496,0.48347,0.54576,0.83798,0.0006733,0.0006733,0.0006733
35,3544.58,0.54067,0.51972,0.84803,0.69001,0.73521,0.74147,0.65753,0.48904,0.56057,0.83889,0.0006634,0.0006634,0.0006634
36,3629.22,0.54158,0.52276,0.84885,0.72513,0.76241,0.7733,0.68691,0.4854,0.53801,0.83873,0.0006535,0.0006535,0.0006535
37,3696.56,0.52465,0.50019,0.84616,0.72129,0.73772,0.74899,0.66195,0.4839,0.52669,0.83621,0.0006436,0.0006436,0.0006436
38,3767.61,0.52913,0.50435,0.84818,0.68434,0.74782,0.74647,0.66654,0.48353,0.54914,0.83595,0.0006337,0.0006337,0.0006337
39,3827.52,0.5252,0.50411,0.84671,0.70068,0.73252,0.74321,0.65465,0.50824,0.53606,0.84688,0.0006238,0.0006238,0.0006238
40,3889.12,0.53156,0.50031,0.84916,0.84532,0.70764,0.7609,0.67311,0.4916,0.53117,0.84345,0.0006139,0.0006139,0.0006139
41,3955.02,0.53105,0.50867,0.85048,0.68708,0.75691,0.72971,0.64335,0.49117,0.5334,0.84258,0.000604,0.000604,0.000604
42,4063.6,0.51729,0.49101,0.84629,0.69866,0.75297,0.74542,0.66283,0.48412,0.50476,0.8443,0.0005941,0.0005941,0.0005941
43,4135.1,0.51952,0.49006,0.84859,0.67324,0.71087,0.73038,0.65104,0.47963,0.55795,0.8344,0.0005842,0.0005842,0.0005842
44,4219.79,0.51792,0.48329,0.84412,0.75147,0.70348,0.74211,0.65387,0.49961,0.53241,0.84298,0.0005743,0.0005743,0.0005743
45,4308.24,0.51546,0.47763,0.84498,0.74931,0.70526,0.73099,0.64614,0.49771,0.53511,0.84037,0.0005644,0.0005644,0.0005644
46,4370.19,0.52033,0.47868,0.84573,0.74374,0.70328,0.75284,0.66955,0.48209,0.52856,0.83729,0.0005545,0.0005545,0.0005545
47,4435.66,0.51037,0.47639,0.84543,0.73236,0.71885,0.74,0.65243,0.49641,0.52612,0.83886,0.0005446,0.0005446,0.0005446
48,4533.18,0.51801,0.47664,0.84001,0.76838,0.70357,0.74376,0.66477,0.4697,0.5416,0.83139,0.0005347,0.0005347,0.0005347
49,4624.25,0.50872,0.46676,0.84046,0.72205,0.74505,0.75425,0.67445,0.46631,0.50873,0.83126,0.0005248,0.0005248,0.0005248
50,4696.7,0.50373,0.46417,0.83831,0.71317,0.74019,0.75478,0.67459,0.46581,0.49806,0.83292,0.0005149,0.0005149,0.0005149
51,4773.69,0.50474,0.46812,0.84225,0.75229,0.72402,0.74919,0.6623,0.48755,0.51062,0.83784,0.000505,0.000505,0.000505
52,4834.91,0.50883,0.46827,0.84476,0.67562,0.74401,0.73701,0.65564,0.47601,0.53652,0.83755,0.0004951,0.0004951,0.0004951
53,4928.06,0.50869,0.46625,0.84117,0.78221,0.75978,0.7697,0.68417,0.4766,0.49857,0.83722,0.0004852,0.0004852,0.0004852
54,4996.36,0.51209,0.4666,0.84073,0.70602,0.73998,0.75455,0.67306,0.47396,0.52126,0.84017,0.0004753,0.0004753,0.0004753
55,5072.18,0.49358,0.45178,0.83714,0.74658,0.72437,0.74933,0.66885,0.47264,0.50563,0.83322,0.0004654,0.0004654,0.0004654
56,5166.45,0.49219,0.45139,0.83898,0.80258,0.71969,0.75805,0.67856,0.45888,0.50102,0.83066,0.0004555,0.0004555,0.0004555
57,5257.13,0.50651,0.45724,0.84141,0.69294,0.75409,0.76577,0.68301,0.462,0.49538,0.83159,0.0004456,0.0004456,0.0004456
58,5333.02,0.49169,0.44286,0.83692,0.69996,0.7712,0.77868,0.69652,0.4708,0.49082,0.83369,0.0004357,0.0004357,0.0004357
59,5420.9,0.49412,0.44078,0.83742,0.74107,0.68692,0.72042,0.64194,0.46384,0.52846,0.83337,0.0004258,0.0004258,0.0004258
60,5507.25,0.48237,0.43674,0.83596,0.70509,0.77865,0.76695,0.68381,0.47228,0.48729,0.83255,0.0004159,0.0004159,0.0004159
61,5560.44,0.49508,0.4436,0.83758,0.77962,0.74371,0.76635,0.68822,0.45398,0.48495,0.8307,0.000406,0.000406,0.000406
62,5613.25,0.49217,0.44109,0.83885,0.7553,0.74468,0.75794,0.67804,0.45778,0.48849,0.83498,0.0003961,0.0003961,0.0003961
63,5697.81,0.48065,0.43156,0.83469,0.76385,0.72257,0.75797,0.67913,0.46205,0.49366,0.83071,0.0003862,0.0003862,0.0003862
64,5780.36,0.48217,0.43372,0.83708,0.69037,0.77512,0.76859,0.69172,0.45084,0.47514,0.82873,0.0003763,0.0003763,0.0003763
65,5864.39,0.48308,0.42989,0.8358,0.74218,0.74719,0.76759,0.68791,0.45952,0.48434,0.82997,0.0003664,0.0003664,0.0003664
66,5923.92,0.47945,0.42307,0.83157,0.77022,0.71973,0.76167,0.68233,0.46517,0.48918,0.8321,0.0003565,0.0003565,0.0003565
67,6000,0.4767,0.42663,0.837,0.81405,0.72065,0.76484,0.684,0.45802,0.50206,0.82982,0.0003466,0.0003466,0.0003466
68,6075.09,0.47713,0.42546,0.83408,0.78613,0.73075,0.76975,0.69232,0.44563,0.46243,0.82785,0.0003367,0.0003367,0.0003367
69,6157.2,0.47458,0.42242,0.83427,0.72026,0.72865,0.76023,0.68134,0.45677,0.47924,0.83074,0.0003268,0.0003268,0.0003268
70,6229.45,0.47586,0.41789,0.83133,0.67882,0.79911,0.7761,0.69577,0.45352,0.47489,0.8298,0.0003169,0.0003169,0.0003169
71,6284.49,0.47415,0.42229,0.83516,0.73829,0.789,0.77422,0.69287,0.45351,0.46992,0.83171,0.000307,0.000307,0.000307
72,6356.11,0.46962,0.4154,0.83376,0.7654,0.73632,0.76688,0.68887,0.45015,0.46922,0.82867,0.0002971,0.0002971,0.0002971
73,6423.4,0.47105,0.41398,0.83082,0.67617,0.75476,0.75334,0.67904,0.45,0.48001,0.82889,0.0002872,0.0002872,0.0002872
74,6497.47,0.47562,0.41555,0.83392,0.71725,0.74116,0.76875,0.6914,0.45017,0.46876,0.82561,0.0002773,0.0002773,0.0002773
75,6564.95,0.46711,0.41108,0.831,0.74659,0.77681,0.79211,0.71526,0.44324,0.46234,0.82692,0.0002674,0.0002674,0.0002674
76,6632.98,0.46696,0.40895,0.83152,0.72856,0.75784,0.7695,0.68878,0.45943,0.47245,0.83114,0.0002575,0.0002575,0.0002575
77,6694.87,0.4596,0.40064,0.82862,0.71614,0.73794,0.76169,0.68403,0.45595,0.47716,0.83022,0.0002476,0.0002476,0.0002476
78,6811.04,0.46183,0.40545,0.83044,0.78602,0.7382,0.76931,0.69246,0.44373,0.48107,0.82791,0.0002377,0.0002377,0.0002377
79,6880.16,0.46627,0.40442,0.8323,0.70836,0.76304,0.76207,0.68639,0.44931,0.46804,0.82963,0.0002278,0.0002278,0.0002278
80,6951.93,0.46453,0.40474,0.82833,0.74569,0.76098,0.76795,0.69108,0.44944,0.46474,0.82724,0.0002179,0.0002179,0.0002179
81,7016.53,0.45944,0.39906,0.83012,0.73217,0.76925,0.77816,0.69883,0.44725,0.46224,0.82807,0.000208,0.000208,0.000208
82,7088.69,0.45321,0.39024,0.82745,0.79203,0.74725,0.76517,0.68884,0.44904,0.46486,0.82967,0.0001981,0.0001981,0.0001981
83,7175.25,0.4585,0.39814,0.82782,0.74582,0.74531,0.77002,0.69521,0.44438,0.46944,0.82564,0.0001882,0.0001882,0.0001882
84,7252.19,0.45169,0.3955,0.82758,0.78028,0.73059,0.76638,0.69339,0.4392,0.46409,0.82553,0.0001783,0.0001783,0.0001783
85,7321.97,0.45266,0.39072,0.82723,0.73495,0.77219,0.78203,0.70692,0.44239,0.46086,0.82805,0.0001684,0.0001684,0.0001684
86,7379.88,0.45872,0.39486,0.82836,0.72285,0.78748,0.7838,0.71066,0.43835,0.45442,0.82422,0.0001585,0.0001585,0.0001585
87,7453.75,0.4545,0.39261,0.82703,0.72395,0.77283,0.78265,0.70779,0.43829,0.44939,0.82582,0.0001486,0.0001486,0.0001486
88,7522.42,0.44765,0.38569,0.8263,0.7458,0.78392,0.77995,0.70458,0.44076,0.45533,0.82607,0.0001387,0.0001387,0.0001387
89,7600.46,0.45333,0.38979,0.82956,0.77751,0.76162,0.77432,0.69709,0.44558,0.45956,0.82798,0.0001288,0.0001288,0.0001288
90,7687.57,0.44343,0.37952,0.82784,0.80509,0.73513,0.7684,0.69285,0.44598,0.46893,0.82717,0.0001189,0.0001189,0.0001189
91,7784.64,0.40615,0.3509,0.81566,0.78521,0.72688,0.76256,0.68847,0.44847,0.47889,0.82726,0.000109,0.000109,0.000109
92,7816.68,0.39931,0.33912,0.81337,0.78133,0.71844,0.76805,0.69226,0.44073,0.45543,0.82546,9.91e-05,9.91e-05,9.91e-05
93,7840.35,0.40012,0.33495,0.8123,0.78535,0.72423,0.76566,0.69169,0.43966,0.46066,0.82598,8.92e-05,8.92e-05,8.92e-05
94,7863.69,0.39298,0.32906,0.81082,0.74317,0.78999,0.77355,0.69928,0.4395,0.4565,0.82607,7.93e-05,7.93e-05,7.93e-05
95,7892.06,0.3964,0.32943,0.81059,0.76207,0.76716,0.77859,0.70659,0.43901,0.4562,0.82609,6.94e-05,6.94e-05,6.94e-05
96,7915.92,0.3929,0.32368,0.81066,0.77281,0.75246,0.77614,0.70134,0.44171,0.45569,0.82735,5.95e-05,5.95e-05,5.95e-05
97,7947.57,0.38236,0.31769,0.81073,0.74277,0.7777,0.77658,0.70169,0.44145,0.45457,0.82713,4.96e-05,4.96e-05,4.96e-05
98,7970.2,0.38874,0.32216,0.8096,0.77556,0.77581,0.77878,0.70436,0.43854,0.44988,0.82626,3.97e-05,3.97e-05,3.97e-05
99,7990.93,0.38738,0.31983,0.80921,0.73986,0.77096,0.77783,0.70463,0.4333,0.45001,0.82505,2.98e-05,2.98e-05,2.98e-05
100,8020.14,0.38639,0.31632,0.81096,0.76718,0.77412,0.77671,0.70399,0.43342,0.44926,0.82507,1.99e-05,1.99e-05,1.99e-05
